source,destination,distance_km,days_to_departure,day_of_week,demand_index,price_inr
Chennai,Bangalore,1407.63,89,2,0.79,2797
Delhi,Goa,2720.13,21,5,0.83,10712
Kolkata,Hyderabad,556.41,16,3,0.81,2000
Kolkata,Chennai,1734.22,0,2,1.09,13184
Hyderabad,Chennai,1437.0,33,4,0.58,4111
Bangalore,Goa,437.43,21,5,0.94,2000
Chennai,Goa,1069.17,49,1,1.15,5648
Pune,Kolkata,2579.27,2,3,1.2,17944
Goa,Chennai,1319.03,4,5,1.33,11900
Delhi,Pune,1390.41,5,5,0.94,8786
Chennai,Pune,539.8,4,3,0.71,2000
Hyderabad,Pune,2695.99,28,5,1.16,13411
Pune,Delhi,2282.24,19,2,1.0,9178
Kolkata,Pune,2377.49,19,1,0.99,13107
Kolkata,Delhi,960.8,11,4,1.1,5984
Goa,Hyderabad,627.85,7,3,0.79,3097
Goa,Mumbai,779.14,16,6,0.73,3062
Goa,Chennai,216.51,13,6,0.68,2338
Goa,Kolkata,2293.04,23,4,1.19,11586
Kolkata,Chennai,1559.8,14,5,0.91,6746
Bangalore,Pune,1508.69,4,4,0.57,5341
Mumbai,Delhi,1999.7,4,3,1.06,13583
Hyderabad,Delhi,1473.16,12,3,0.91,8934
Goa,Bangalore,2537.75,19,5,0.5,5795
Hyderabad,Delhi,2020.4,45,5,1.05,9609
Chennai,Delhi,2549.84,29,1,1.21,14944
Chennai,Kolkata,2158.5,43,1,0.59,4141
Delhi,Pune,2494.04,100,0,0.6,6064
Goa,Chennai,2836.12,6,4,0.9,15921
Delhi,Goa,2362.95,56,4,1.12,10233
Mumbai,Chennai,1691.69,32,0,0.82,7769
Goa,Pune,1572.56,17,2,0.75,4318
Bangalore,Kolkata,693.18,22,5,0.95,4766
Pune,Chennai,1419.61,39,2,0.93,6021
Delhi,Chennai,2668.57,8,3,0.73,8836
Hyderabad,Mumbai,1584.06,11,3,1.08,10052
Hyderabad,Bangalore,2664.9,36,2,0.77,7896
Chennai,Mumbai,875.8,15,4,1.02,3294
Pune,Chennai,2420.21,2,1,0.88,14798
Hyderabad,Chennai,1749.72,12,5,0.82,7458
Pune,Bangalore,1058.54,7,5,1.04,6417
Bangalore,Delhi,805.88,19,5,0.71,2188
Kolkata,Mumbai,2531.36,10,2,1.01,12578
Bangalore,Chennai,327.44,1,2,0.97,2000
Pune,Mumbai,2643.62,25,3,0.82,8901
Mumbai,Chennai,2834.98,19,6,1.21,23619
Mumbai,Bangalore,617.75,24,2,1.13,3212
Goa,Kolkata,1869.16,28,6,0.78,8046
Pune,Bangalore,2608.47,138,2,0.94,8294
Delhi,Pune,781.81,7,5,1.13,5132
Delhi,Bangalore,207.49,17,4,0.95,2000
Kolkata,Goa,991.61,58,0,0.83,2533
Chennai,Kolkata,521.37,7,1,1.31,2669
Delhi,Mumbai,664.58,11,5,1.2,2293
Pune,Mumbai,1512.35,10,3,1.22,8552
Pune,Chennai,425.24,1,3,0.97,2000
Mumbai,Delhi,840.99,33,6,0.56,2000
Kolkata,Hyderabad,312.65,42,3,0.79,2000
Kolkata,Delhi,2991.45,17,6,0.91,18398
Hyderabad,Chennai,1133.26,33,6,1.11,7948
Pune,Bangalore,2055.23,15,6,0.79,10618
Hyderabad,Bangalore,1105.17,105,3,1.25,3355
Mumbai,Goa,2634.23,18,0,1.07,19901
Pune,Hyderabad,1437.71,1,2,0.56,4194
Pune,Hyderabad,1557.19,0,5,0.89,8887
Bangalore,Chennai,1742.35,24,0,1.06,12284
Delhi,Kolkata,2851.77,31,1,0.68,8743
Kolkata,Chennai,2537.23,117,1,0.89,8787
Chennai,Hyderabad,1623.07,63,6,1.31,10897
Goa,Bangalore,2815.9,21,6,1.32,20934
Pune,Goa,616.07,23,2,0.83,3545
Goa,Chennai,2811.99,61,5,1.01,11844
Goa,Mumbai,1090.89,19,6,0.56,6151
Bangalore,Kolkata,2901.51,4,4,0.95,19006
Pune,Mumbai,1672.66,18,5,1.25,12883
Bangalore,Mumbai,1514.57,104,2,0.86,3780
Delhi,Pune,1119.98,33,4,0.87,4982
Pune,Goa,1714.84,28,1,0.69,3671
Chennai,Goa,453.06,114,6,0.73,2000
Pune,Delhi,2143.2,70,0,0.97,10243
Hyderabad,Bangalore,1405.92,8,3,0.68,3932
Bangalore,Delhi,421.11,61,4,0.9,2000
Bangalore,Delhi,1491.22,8,2,0.79,3870
Pune,Bangalore,2097.31,5,3,1.56,18876
Kolkata,Goa,2893.68,35,3,1.08,12106
Goa,Pune,1552.98,8,4,0.89,8112
Kolkata,Mumbai,2938.24,32,2,1.4,16762
Mumbai,Hyderabad,2286.48,53,2,1.02,8732
Hyderabad,Delhi,1982.53,29,5,1.01,7304
Bangalore,Goa,472.06,29,0,0.92,3448
Hyderabad,Goa,567.95,72,2,1.0,2000
Bangalore,Pune,1710.34,106,4,0.84,5486
Bangalore,Chennai,2759.34,86,6,0.89,13683
Delhi,Kolkata,2896.1,4,1,1.2,22223
Goa,Pune,2452.85,13,6,0.88,15052
Delhi,Kolkata,1232.04,41,2,0.68,2451
Hyderabad,Mumbai,2089.54,19,4,1.19,12574
Chennai,Goa,377.01,52,5,0.93,2548
Bangalore,Mumbai,2849.53,10,3,1.11,15860
Bangalore,Kolkata,1470.2,33,5,0.92,4910
Bangalore,Kolkata,2033.78,53,4,0.59,6743
Mumbai,Goa,1237.48,17,1,1.06,6723
Hyderabad,Kolkata,2724.75,31,0,0.9,14182
Delhi,Pune,2507.74,2,1,0.83,13001
Mumbai,Delhi,2403.02,8,1,1.03,12706
Chennai,Hyderabad,804.66,61,2,1.05,2000
Mumbai,Chennai,2603.54,4,1,0.65,10976
Delhi,Goa,2626.05,4,2,1.04,15877
Hyderabad,Mumbai,687.89,1,5,0.91,4459
Delhi,Kolkata,1455.17,13,4,1.18,10022
Mumbai,Goa,2393.04,60,4,0.91,11161
Mumbai,Delhi,2996.04,56,3,0.91,9973
Pune,Mumbai,2717.95,11,1,1.15,17200
Hyderabad,Chennai,2984.96,22,3,0.79,9513
Delhi,Pune,2033.2,63,4,0.97,6859
Pune,Delhi,1358.68,52,3,0.92,5288
Goa,Bangalore,2062.3,14,1,0.91,9088
Delhi,Pune,439.02,16,5,0.97,2000
Mumbai,Hyderabad,2878.55,24,5,1.13,15286
Goa,Pune,2764.36,1,2,0.85,13725
Chennai,Delhi,2038.86,7,0,0.85,12729
Delhi,Pune,979.99,7,3,1.31,4000
Mumbai,Hyderabad,2801.44,53,2,1.16,13306
Kolkata,Bangalore,1182.87,6,1,0.81,6058
Bangalore,Goa,1972.88,0,5,0.81,10602
Pune,Bangalore,640.75,11,2,1.04,2000
Delhi,Mumbai,635.62,42,0,0.93,2617
Goa,Chennai,1899.81,16,1,1.0,9768
Goa,Mumbai,993.09,34,3,0.83,3194
Chennai,Kolkata,2956.45,1,1,0.96,19811
Bangalore,Pune,915.45,11,0,0.79,4899
Bangalore,Kolkata,1691.23,7,4,1.18,9208
Delhi,Kolkata,2612.94,1,0,0.92,20384
Hyderabad,Kolkata,1402.0,15,5,0.91,7134
Mumbai,Chennai,681.24,88,3,1.22,2000
Delhi,Kolkata,2564.56,8,4,0.93,13116
Kolkata,Goa,1150.64,12,1,1.25,8421
Chennai,Pune,1178.25,38,6,0.93,5716
Delhi,Bangalore,916.71,5,1,1.02,4855
Bangalore,Pune,1958.26,18,4,1.01,9591
Hyderabad,Pune,2918.72,11,3,1.2,17471
Kolkata,Pune,969.09,1,4,1.2,8350
Mumbai,Delhi,1232.47,10,5,1.26,6905
Goa,Chennai,1824.92,92,5,1.17,7502
Chennai,Bangalore,1894.02,20,0,0.65,8868
Hyderabad,Goa,436.12,31,0,1.0,3526
Pune,Kolkata,1663.69,5,2,1.17,11337
Hyderabad,Goa,1874.08,46,5,0.91,8445
Goa,Bangalore,905.59,57,4,1.13,3961
Bangalore,Chennai,1068.65,32,5,0.79,4643
Delhi,Chennai,1764.98,30,2,1.12,6632
Delhi,Goa,2077.28,21,0,0.92,11229
Chennai,Bangalore,2853.47,19,1,1.12,17258
Kolkata,Pune,2406.74,21,4,1.21,11320
Mumbai,Goa,1142.94,43,1,0.91,4348
Bangalore,Pune,2139.97,29,1,0.99,9240
Hyderabad,Goa,2214.84,104,4,0.93,9500
Pune,Delhi,1695.23,11,6,1.09,10358
Chennai,Bangalore,2099.26,25,3,0.84,7336
Goa,Kolkata,1676.89,101,6,1.08,9954
Kolkata,Mumbai,1995.3,62,4,1.29,9213
Delhi,Chennai,434.85,5,3,1.09,2563
Goa,Mumbai,2849.96,7,3,1.35,17168
Goa,Mumbai,1310.07,14,3,1.19,7543
Mumbai,Chennai,2806.31,54,5,0.94,12354
Mumbai,Chennai,2768.71,19,6,1.2,23624
Pune,Kolkata,214.7,2,2,1.02,2000
Goa,Mumbai,2373.28,8,0,1.2,19532
Pune,Mumbai,510.4,70,4,0.72,2000
Chennai,Goa,602.02,16,4,0.84,3769
Bangalore,Goa,2071.0,22,2,1.22,10737
Mumbai,Kolkata,2645.33,1,3,1.15,18390
Mumbai,Chennai,2407.86,12,5,0.95,11962
Hyderabad,Delhi,324.14,23,6,0.76,2000
Pune,Hyderabad,1539.89,6,1,1.32,14389
Pune,Mumbai,1021.64,1,1,1.13,7220
Kolkata,Hyderabad,1315.03,50,3,0.99,6945
Chennai,Bangalore,1199.53,45,6,0.91,5477
Hyderabad,Chennai,2690.56,40,3,0.93,10679
Pune,Bangalore,2788.07,21,6,1.18,19027
Goa,Kolkata,2986.27,5,2,0.96,17784
Kolkata,Bangalore,1448.56,37,1,0.93,5197
Mumbai,Goa,2636.1,13,3,0.91,14423
Mumbai,Delhi,2079.31,15,4,1.1,10920
Mumbai,Bangalore,2576.27,34,3,1.07,11245
Hyderabad,Bangalore,1271.99,25,4,1.12,7309
Hyderabad,Bangalore,1443.03,2,1,0.8,7607
Kolkata,Delhi,2889.46,0,1,0.8,15609
Delhi,Chennai,2369.9,36,1,1.16,12352
Pune,Delhi,543.38,57,3,1.15,3929
Delhi,Pune,2109.4,56,2,0.84,5809
Kolkata,Bangalore,2583.81,37,5,0.77,7600
Chennai,Mumbai,2958.37,47,1,1.01,13222
Hyderabad,Chennai,2450.25,24,4,1.06,11442
Goa,Hyderabad,2212.84,22,6,0.78,10414
Bangalore,Chennai,1998.55,17,5,0.9,9656
Bangalore,Pune,2905.54,17,6,1.1,21749
Bangalore,Chennai,661.04,11,5,1.07,6218
Kolkata,Pune,420.81,6,4,0.96,4111
Delhi,Hyderabad,1994.76,26,4,1.17,11711
Hyderabad,Pune,2787.0,1,6,1.06,24980
Kolkata,Goa,790.26,25,4,0.85,2123
Kolkata,Goa,2878.62,19,6,1.07,19836
Pune,Mumbai,2128.12,5,3,0.87,11314
Bangalore,Chennai,2612.16,11,6,0.89,16525
Hyderabad,Kolkata,1772.62,11,3,1.16,10754
Bangalore,Mumbai,341.69,87,6,0.89,2000
Bangalore,Pune,1116.82,25,2,1.04,5252
Pune,Chennai,2661.41,20,0,1.22,21516
Chennai,Delhi,1833.36,1,2,0.59,6638
Pune,Bangalore,1702.73,56,3,1.1,8170
Hyderabad,Pune,1329.11,1,0,0.88,9587
Kolkata,Mumbai,1281.78,17,4,0.89,9114
Delhi,Bangalore,2930.23,15,6,1.25,24618
Hyderabad,Pune,603.95,27,3,0.94,2299
Bangalore,Goa,1132.51,19,3,1.25,8583
Bangalore,Chennai,2807.83,11,3,1.33,18053
Kolkata,Hyderabad,1141.85,52,4,0.74,3884
Pune,Goa,246.58,12,0,1.26,2000
Mumbai,Hyderabad,1528.85,102,6,1.26,8981
Chennai,Goa,343.79,19,4,0.81,2000
Goa,Delhi,2500.65,8,4,1.09,14565
Mumbai,Kolkata,1078.34,4,5,1.07,8920
Pune,Goa,2575.46,38,5,1.09,13153
Hyderabad,Goa,1539.44,14,1,0.76,6627
Hyderabad,Goa,2361.57,38,5,1.05,10419
Pune,Delhi,2880.54,9,2,1.08,17772
Kolkata,Pune,1009.21,6,5,0.77,5324
Kolkata,Bangalore,541.25,33,3,1.16,2000
Hyderabad,Pune,2452.92,10,2,1.08,12762
Pune,Hyderabad,918.04,19,1,1.07,4603
Kolkata,Delhi,505.83,40,1,1.01,3786
Chennai,Goa,851.94,3,2,0.98,4621
Bangalore,Mumbai,2900.65,114,1,0.61,8059
Pune,Chennai,2021.51,42,2,0.88,8504
Delhi,Goa,1807.57,22,5,1.03,8155
Bangalore,Kolkata,2670.29,5,0,1.2,27019
Pune,Delhi,2822.5,98,2,1.02,9815
Delhi,Chennai,996.77,135,4,0.59,2000
Bangalore,Pune,1611.8,9,6,1.09,12246
Pune,Hyderabad,920.34,6,5,0.91,6367
Chennai,Delhi,1910.67,30,3,1.11,7524
Delhi,Kolkata,2073.92,6,1,0.54,7890
Mumbai,Chennai,1274.01,17,2,1.16,6941
Mumbai,Chennai,2030.31,35,0,0.89,9191
Bangalore,Kolkata,2121.01,76,5,1.04,6918
Kolkata,Bangalore,1920.95,7,1,0.78,8242
Hyderabad,Chennai,2165.43,73,6,0.71,7006
Chennai,Pune,892.9,42,6,1.06,4136
Hyderabad,Mumbai,2768.29,3,6,0.77,17635
Bangalore,Delhi,1118.73,22,0,0.87,4036
Pune,Mumbai,2716.89,17,0,0.77,14467
Pune,Kolkata,361.66,18,6,0.99,2613
Kolkata,Pune,208.44,7,0,1.18,2000
Delhi,Hyderabad,2983.55,81,0,1.23,17448
Kolkata,Chennai,703.95,4,5,1.29,5934
Goa,Bangalore,2980.0,14,6,1.17,23050
Delhi,Goa,2899.6,62,1,0.89,9111
Bangalore,Hyderabad,1300.56,4,1,1.17,8824
Kolkata,Chennai,2085.8,23,4,0.9,8944
Pune,Bangalore,634.34,6,5,1.0,4027
Goa,Kolkata,2344.95,64,0,1.0,11584
Mumbai,Kolkata,1873.8,36,0,1.0,10841
Pune,Delhi,1711.33,42,6,1.22,12155
Kolkata,Delhi,2484.2,39,2,0.7,6238
Hyderabad,Delhi,1044.94,4,5,0.8,5505
Kolkata,Mumbai,1758.81,26,5,1.24,9074
Goa,Kolkata,1587.74,107,5,0.83,3495
Hyderabad,Goa,1365.71,4,3,1.1,10263
Chennai,Pune,830.96,58,1,1.15,2216
Goa,Chennai,1760.4,4,1,0.99,12659
Delhi,Kolkata,2571.97,2,5,1.03,17596
Goa,Hyderabad,1893.91,1,0,1.13,19625
Chennai,Kolkata,784.89,71,2,1.03,2736
Chennai,Goa,528.49,180,3,1.26,2000
Chennai,Kolkata,2762.35,24,6,0.95,15858
Hyderabad,Bangalore,932.37,21,3,0.65,2836
Pune,Goa,2551.25,73,2,0.98,8889
Chennai,Goa,608.58,9,4,0.82,2199
Bangalore,Delhi,1123.62,14,6,1.01,8925
Hyderabad,Bangalore,2337.41,20,5,0.85,9826
Bangalore,Goa,2425.93,5,5,0.88,14226
Mumbai,Hyderabad,294.71,56,6,0.83,2000
Goa,Delhi,2559.13,7,5,1.08,15496
Pune,Bangalore,369.26,30,4,1.25,2000
Mumbai,Delhi,1690.19,15,0,0.84,9436
Kolkata,Mumbai,1606.2,35,3,1.15,5423
Delhi,Mumbai,1668.28,8,4,0.64,5462
Kolkata,Pune,1311.31,14,3,0.86,5671
Chennai,Bangalore,2115.32,56,5,1.29,12204
Mumbai,Delhi,1334.78,14,3,1.03,6729
Bangalore,Mumbai,1599.6,17,6,0.73,10283
Delhi,Hyderabad,2773.63,7,6,0.91,15828
Kolkata,Mumbai,2787.65,34,2,1.21,12900
Mumbai,Bangalore,2800.55,11,1,0.71,9869
Goa,Mumbai,1037.98,24,4,1.1,4282
Hyderabad,Chennai,2315.71,4,5,0.96,13843
Hyderabad,Mumbai,473.52,7,0,0.82,4063
Goa,Pune,1113.85,30,6,1.23,7652
Hyderabad,Kolkata,2835.2,16,5,0.83,12205
Kolkata,Pune,890.06,2,2,1.18,7680
Bangalore,Goa,1290.94,13,0,1.17,10223
Hyderabad,Pune,955.35,4,1,0.77,5502
Goa,Mumbai,273.53,13,0,0.71,2000
Goa,Mumbai,1017.17,14,0,0.96,5327
Chennai,Hyderabad,1659.09,34,1,1.11,8935
Pune,Delhi,377.15,17,3,0.89,3294
Hyderabad,Bangalore,2843.82,38,3,0.89,9884
Delhi,Bangalore,1053.04,89,2,1.11,3204
Hyderabad,Chennai,1137.26,50,6,0.84,4282
Kolkata,Bangalore,1888.99,35,3,0.8,8498
Hyderabad,Bangalore,2257.65,30,4,1.04,9696
Kolkata,Pune,2400.43,13,4,1.21,18951
Bangalore,Goa,2349.33,0,5,0.7,11475
Pune,Goa,1015.73,35,6,1.21,5459
Pune,Delhi,1973.34,8,5,1.12,12799
Goa,Mumbai,1457.39,27,4,0.81,6006
Goa,Kolkata,302.94,103,5,1.2,2000
Delhi,Mumbai,2353.07,32,2,1.14,12055
Goa,Pune,1128.47,47,0,1.15,7351
Chennai,Kolkata,1247.53,18,5,0.8,4767
Hyderabad,Mumbai,1551.76,10,0,1.35,15724
Bangalore,Chennai,1073.29,18,1,0.82,4630
Delhi,Kolkata,2221.58,18,0,0.89,15079
Delhi,Mumbai,2577.7,31,5,1.14,11031
Chennai,Hyderabad,688.47,5,4,0.8,4215
Goa,Hyderabad,716.46,30,3,0.74,3145
Chennai,Kolkata,1858.17,14,5,1.04,11224
Delhi,Hyderabad,484.91,61,1,0.91,2183
Delhi,Chennai,2077.96,20,5,0.92,11238
Goa,Kolkata,519.85,13,3,0.73,2000
Kolkata,Hyderabad,1852.47,33,2,1.13,9054
Bangalore,Chennai,2141.62,21,3,0.78,6021
Goa,Delhi,1562.68,23,5,1.11,7545
Bangalore,Kolkata,1008.74,6,6,0.94,8101
Hyderabad,Mumbai,1556.9,6,3,1.23,11366
Pune,Chennai,2117.15,16,6,0.89,12928
Mumbai,Pune,2330.96,10,2,1.03,12483
Pune,Kolkata,2279.05,43,4,0.74,7501
Kolkata,Pune,1720.7,140,4,1.03,6517
Pune,Kolkata,811.92,16,5,1.16,3624
Kolkata,Pune,2998.08,17,2,1.06,15120
Delhi,Pune,2473.29,7,5,0.84,10731
Goa,Delhi,1925.22,46,6,1.02,11383
Hyderabad,Kolkata,987.04,23,2,1.16,4528
Kolkata,Pune,1640.36,69,6,1.42,12582
Goa,Mumbai,2978.96,60,1,0.97,12494
Bangalore,Goa,1101.87,8,6,0.9,5657
Kolkata,Goa,1359.83,18,5,1.09,6359
Goa,Kolkata,2299.45,35,2,0.78,7589
Mumbai,Pune,2367.58,39,5,1.28,13390
Hyderabad,Pune,377.33,22,1,1.37,2000
Pune,Bangalore,1104.02,10,4,0.77,3983
Pune,Goa,1162.47,34,0,1.27,8704
Pune,Mumbai,547.86,58,3,0.5,2000
Goa,Delhi,2987.94,72,5,0.87,11873
Kolkata,Mumbai,2032.85,8,2,0.85,7155
Mumbai,Kolkata,1951.69,38,6,1.03,12760
Delhi,Mumbai,797.58,2,4,1.04,7092
Mumbai,Delhi,2147.67,50,6,0.91,11243
Delhi,Bangalore,1272.6,39,0,1.15,8810
Kolkata,Delhi,1271.62,50,6,1.42,12494
Bangalore,Mumbai,1685.42,0,5,1.1,13312
Chennai,Goa,2295.15,75,4,0.85,5635
Delhi,Mumbai,592.04,3,5,0.62,4189
Hyderabad,Pune,591.52,9,0,1.0,5348
Kolkata,Pune,2835.58,0,6,0.91,21061
Chennai,Goa,1296.9,31,6,1.4,8725
Pune,Chennai,515.68,20,4,1.38,4747
Mumbai,Chennai,2814.99,4,6,1.11,25478
Bangalore,Pune,1518.84,131,0,1.07,7809
Kolkata,Delhi,311.52,1,6,0.87,2778
Goa,Chennai,2165.07,2,4,0.89,12872
Delhi,Chennai,421.26,76,6,1.1,2952
Delhi,Chennai,2156.29,39,6,1.01,12997
Goa,Mumbai,1469.44,28,2,0.85,3793
Bangalore,Mumbai,235.46,4,0,1.25,4603
Kolkata,Delhi,1241.23,41,6,0.95,8704
Mumbai,Chennai,2459.9,9,0,0.96,18648
Delhi,Kolkata,1474.55,13,3,1.08,7272
Bangalore,Chennai,2365.32,67,5,0.98,8157
Mumbai,Delhi,2604.33,0,0,0.81,17972
Bangalore,Delhi,2807.25,58,4,1.1,12401
Goa,Delhi,1101.05,16,5,0.84,6687
Hyderabad,Mumbai,1605.71,69,1,1.04,7575
Mumbai,Kolkata,392.99,18,2,1.03,2000
Delhi,Hyderabad,1478.89,13,2,0.84,5705
Chennai,Kolkata,1231.17,107,6,1.05,4578
Chennai,Delhi,217.86,15,1,0.73,2000
Mumbai,Chennai,204.09,32,6,0.99,2000
Chennai,Hyderabad,2952.72,16,0,1.11,22028
Kolkata,Mumbai,322.92,7,6,0.69,2000
Hyderabad,Chennai,2928.75,2,0,0.72,17744
Goa,Mumbai,1857.31,1,5,1.14,14128
Kolkata,Pune,1082.02,48,5,1.09,4534
Pune,Bangalore,854.11,86,1,1.05,2128
Bangalore,Mumbai,660.25,18,3,1.14,4306
Chennai,Kolkata,1063.26,9,0,1.31,10379
Kolkata,Pune,2173.17,27,1,1.09,9895
Delhi,Goa,895.01,13,4,1.16,5861
Bangalore,Mumbai,2865.87,57,4,1.0,12138
Pune,Mumbai,2450.91,4,0,1.32,27955
Chennai,Delhi,754.77,15,5,0.8,2210
Kolkata,Pune,409.96,175,1,1.18,2000
Bangalore,Mumbai,2734.22,53,2,1.34,16501
Mumbai,Bangalore,2787.57,17,5,0.96,14601
Goa,Delhi,1191.04,71,2,0.92,5809
Mumbai,Hyderabad,1933.69,8,2,0.59,5559
Pune,Mumbai,445.62,14,3,1.13,4422
Chennai,Goa,2983.44,23,0,1.35,22539
Hyderabad,Chennai,1724.65,19,4,0.8,7436
Bangalore,Mumbai,1092.86,7,6,1.01,7109
Pune,Kolkata,1200.81,26,1,1.09,5815
Chennai,Bangalore,1694.33,46,5,1.63,13582
Chennai,Hyderabad,2570.21,47,2,1.57,15119
Bangalore,Delhi,862.34,11,5,0.86,2000
Mumbai,Goa,2161.57,88,4,1.31,12727
Pune,Kolkata,1065.35,20,0,1.25,9458
Mumbai,Hyderabad,1538.37,12,4,1.03,9061
Bangalore,Pune,2564.0,11,0,1.19,21846
Bangalore,Pune,510.58,22,2,1.19,2223
Goa,Kolkata,482.89,10,1,1.32,3197
Goa,Pune,1989.94,20,2,1.24,14332
Hyderabad,Delhi,2063.49,50,3,0.89,8869
Bangalore,Delhi,2240.73,89,4,0.5,6309
Mumbai,Bangalore,1886.69,76,4,1.05,8847
Pune,Delhi,1127.27,2,2,1.12,7603
Delhi,Pune,2185.1,30,2,0.85,7781
Chennai,Goa,389.83,8,0,0.99,2296
Pune,Hyderabad,1375.03,5,3,0.81,6809
Goa,Mumbai,2520.66,46,4,0.82,8062
Bangalore,Kolkata,406.39,56,2,1.15,2000
Delhi,Mumbai,1157.06,65,1,0.97,3042
Delhi,Chennai,1863.29,28,3,0.94,6074
Bangalore,Hyderabad,2691.31,5,0,0.74,19167
Goa,Hyderabad,1751.51,77,4,0.98,7375
Chennai,Mumbai,338.98,25,6,0.93,2000
Mumbai,Kolkata,445.36,52,5,0.89,2000
Mumbai,Bangalore,678.33,10,0,0.9,4203
Goa,Chennai,1569.47,32,0,0.88,6999
Hyderabad,Chennai,1234.32,17,2,0.85,5388
Kolkata,Hyderabad,372.59,41,5,1.24,2927
Goa,Pune,1851.23,24,6,0.82,9331
Pune,Kolkata,2668.63,19,0,0.69,13633
Mumbai,Hyderabad,1799.42,21,4,0.88,5876
Delhi,Pune,1457.31,89,1,1.36,7265
Bangalore,Mumbai,1385.45,133,3,1.11,7069
Bangalore,Pune,1866.13,11,5,1.06,10490
Goa,Kolkata,1312.59,11,2,0.56,3297
Mumbai,Pune,2161.15,26,6,0.82,10469
Bangalore,Hyderabad,1846.22,42,0,1.23,12189
Delhi,Pune,1001.06,23,2,1.11,3957
Pune,Kolkata,1905.09,1,2,0.77,9706
Goa,Mumbai,1308.22,63,5,1.03,6804
Kolkata,Bangalore,256.65,51,2,0.86,2678
Delhi,Pune,838.28,10,5,0.65,3597
Kolkata,Goa,1366.96,31,1,0.59,4421
Goa,Hyderabad,1556.49,21,2,1.1,5849
Bangalore,Mumbai,1071.14,21,1,1.05,3865
Mumbai,Bangalore,739.74,53,6,1.05,4461
Mumbai,Chennai,2172.98,9,6,0.8,11958
Delhi,Goa,285.58,13,4,0.52,2000
Pune,Kolkata,1743.73,12,6,1.26,13807
Delhi,Chennai,276.86,1,6,0.53,2000
Chennai,Goa,830.31,6,5,0.97,5545
Mumbai,Kolkata,2752.24,31,4,1.04,12205
Kolkata,Goa,2907.67,30,3,1.31,14234
